State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar","Bhindi(Ladies Finger)",Other,Local,06/04/2025,1600,3000,2300
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar",Carrot,Other,Local,06/04/2025,700,1350,1025
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar",Chikoos(Sapota),Other,Local,06/04/2025,2400,3300,2850
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar","Green Chilli",Other,Local,06/04/2025,3500,5000,4250
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar",Guar,Other,Local,06/04/2025,1500,3000,2250
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar","Karbuja(Musk Melon)",Other,Local,06/04/2025,600,1300,950
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar",Lime,Other,Local,06/04/2025,7000,11000,9000
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar",Mango,Other,Local,06/04/2025,19000,25000,22000
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar",Ridgeguard(Tori),Other,Local,06/04/2025,1000,1800,1400
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar","Tamarind Fruit",Other,Local,06/04/2025,5200,14000,9600
Maharashtra,"Chattrapati Sambhajinagar",Sillod,Wheat,Other,FAQ,06/04/2025,2520,2630,2600
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Groundnut,Other,Non-FAQ,06/04/2025,3300,5000,4150
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Lime,Other,Local,06/04/2025,5000,12000,8500
Maharashtra,Jalgaon,Bhusaval,"Karbuja(Musk Melon)",Other,Local,06/04/2025,1000,1500,1400
Maharashtra,Jalgaon,Bhusaval,Potato,Other,Local,06/04/2025,1400,1600,1500
Maharashtra,Jalgaon,Bhusaval,"Water Melon",Other,Local,06/04/2025,1000,1000,1000
Maharashtra,Pune,Junnar(Narayangaon),Beans,Other,Local,06/04/2025,4000,5800,5000
Maharashtra,Pune,Junnar(Narayangaon),Beetroot,Other,Local,06/04/2025,300,1380,850
Maharashtra,Pune,Junnar(Narayangaon),Cabbage,Other,Local,06/04/2025,200,800,500
Maharashtra,Pune,Junnar(Narayangaon),Guar,Other,Local,06/04/2025,1500,6000,4500
Maharashtra,Pune,Junnar(Narayangaon),Potato,Other,Local,06/04/2025,500,2000,1500
Maharashtra,Pune,Junnar(Narayangaon),Ridgeguard(Tori),Other,Local,06/04/2025,610,4000,2500
Maharashtra,Pune,Pune(Moshi),Apple,Other,Local,06/04/2025,12000,12000,12000
Maharashtra,Pune,Pune(Moshi),Cauliflower,Other,Local,06/04/2025,500,1000,750
Maharashtra,Pune,Pune(Moshi),Coriander(Leaves),Other,Local,06/04/2025,8,10,9
Maharashtra,Pune,Pune(Moshi),Lime,Other,Local,06/04/2025,7000,9000,8000
Maharashtra,Pune,Pune(Moshi),"Onion Green",Other,Local,06/04/2025,7,10,9
Maharashtra,Pune,Pune(Moshi),Orange,Other,Local,06/04/2025,6000,6000,6000
