State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Pune,Pune(Moshi),Coriander(Leaves),Other,Local,2025-04-06,8.0,10.0,9.0
Maharashtra,Pune,Pune(Moshi),Lime,Other,Local,2025-04-06,7000.0,9000.0,8000.0
Maharashtra,Pune,Pune(Moshi),Onion Green,Other,Local,2025-04-06,7.0,10.0,9.0
Maharashtra,Pune,Pune(Moshi),Orange,Other,Local,2025-04-06,6000.0,6000.0,6000.0
Maharashtra,Pune,Pune(Moshi),Potato,Local,Local,2025-04-06,1000.0,1800.0,1400.0
Maharashtra,Pune,Pune(Moshi),Sweet Potato,Other,Local,2025-04-06,2000.0,2000.0,2000.0
Maharashtra,Pune,Pune(Pimpri),Drumstick,Other,Local,2025-04-06,3000.0,3000.0,3000.0
Maharashtra,Raigad,Murud,Rice,Other,Local,2025-04-06,2500.0,2700.0,2600.0
Maharashtra,Raigad,Panvel,Cucumbar(Kheera),Other,Local,2025-04-06,2500.0,3000.0,2750.0
Maharashtra,Raigad,Panvel,Snakeguard,Other,Local,2025-04-06,4000.0,5000.0,4500.0
Maharashtra,Sholapur,Mangal Wedha,Coriander(Leaves),Other,Local,2025-04-06,1.0,6.0,3.0
Maharashtra,Sholapur,Mangal Wedha,Cucumbar(Kheera),Other,Local,2025-04-06,1000.0,3300.0,2200.0
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,2025-04-06,1000.0,1400.0,1200.0
